,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Name,Olympic_Nation
0,AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18.0,3.9,8.266,,12.166,Fredrik AAS,NOR
1,AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23.0,3.9,6.9,,10.8,Fredrik AAS,NOR
2,AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33.0,4.2,6.666,,10.866,Fredrik AAS,NOR
3,AAS,Fredrik,m,NOR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",HB,39.0,4.6,6.7,,11.3,Fredrik AAS,NOR
4,AAS,Fredrik,m,NOR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,44.0,4.4,7.8,,12.2,Fredrik AAS,NOR
5,AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",FX,54.0,4.0,8.566,,12.566,Fredrik AAS,NOR
6,AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",HB,44.0,4.6,8.166,,12.766,Fredrik AAS,NOR
7,AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PB,54.0,4.4,8.066,,12.466,Fredrik AAS,NOR
8,AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PH,58.0,4.4,7.266,,11.666,Fredrik AAS,NOR
9,AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",SR,73.0,3.5,8.366,,11.866,Fredrik AAS,NOR
10,AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",VT,69.0,4.0,8.966,,12.966,Fredrik AAS,NOR
11,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,13.0,5.5,8.3,,13.8,Nestor ABAD,ESP
12,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,48.0,5.5,7.9,,13.4,Nestor ABAD,ESP
13,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",HB,10.0,5.3,8.133,,13.433,Nestor ABAD,ESP
14,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,48.0,5.0,8.166,,13.166,Nestor ABAD,ESP
15,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",HB,,5.3,7.833,,13.133,Nestor ABAD,ESP
16,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,12.0,5.8,8.4,,14.2,Nestor ABAD,ESP
17,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,26.0,5.8,8.5,,14.3,Nestor ABAD,ESP
18,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,21.0,5.1,6.166,,11.266,Nestor ABAD,ESP
19,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55.0,5.2,7.566,,12.766,Nestor ABAD,ESP
20,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",PH,,4.4,7.233,,11.633,Nestor ABAD,ESP
21,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",SR,12.0,5.3,7.933,,13.233,Nestor ABAD,ESP
22,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,90.0,4.9,7.666,,12.566,Nestor ABAD,ESP
23,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",SR,,5.3,8.5,,13.8,Nestor ABAD,ESP
24,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,20.0,4.8,9.033,0.1,13.733,Nestor ABAD,ESP
25,ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,97.0,4.8,9.0,0.3,13.5,Nestor ABAD,ESP
26,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,86.0,5.4,7.133,0.1,12.433,Nestor ABAD,ESP
27,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",HB,10.0,5.3,8.5,,13.8,Nestor ABAD,ESP
28,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10.0,5.3,8.1,,13.4,Nestor ABAD,ESP
29,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,9.0,5.8,8.6,,14.4,Nestor ABAD,ESP
30,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10.0,5.8,8.266,,14.066,Nestor ABAD,ESP
31,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PH,105.0,5.0,5.5,,10.5,Nestor ABAD,ESP
32,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",SR,23.0,5.3,8.366,,13.666,Nestor ABAD,ESP
33,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6.0,5.3,8.333,,13.633,Nestor ABAD,ESP
34,ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",VT,36.0,5.2,9.2,0.3,14.1,Nestor ABAD,ESP
35,ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,21.0,5.5,8.666,,14.166,Nestor ABAD,ESP
36,ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",HB,66.0,4.8,8.233,,13.033,Nestor ABAD,ESP
37,ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,59.0,5.8,8.3,0.3,13.8,Nestor ABAD,ESP
38,ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,58.0,5.0,8.1,,13.1,Nestor ABAD,ESP
39,ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",SR,33.0,5.3,8.3,,13.6,Nestor ABAD,ESP
40,ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,126.0,5.2,8.0,,13.2,Nestor ABAD,ESP
41,ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,24.0,5.4,7.233,,12.633,Nestor ABAD,ESP
42,ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",FX,94.0,4.6,8.0,0.1,12.5,Nestor ABAD,ESP
43,ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,9.0,5.3,8.1,,13.4,Nestor ABAD,ESP
44,ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,final,"Antalya, Turkey",HB,4.0,5.3,8.366,,13.666,Nestor ABAD,ESP
45,ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",HB,5.0,5.3,8.433,,13.733,Nestor ABAD,ESP
