,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Name,Olympic_Nation
144,ABDELSALAM,Jana,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,100.0,4.8,6.2,,11.0,Jana ABDELSALAM,EGY
145,ABDELSALAM,Jana,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,109.0,4.4,7.466,0.1,11.766,Jana ABDELSALAM,EGY
146,ABDELSALAM,Jana,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,52.0,4.8,8.0,,12.8,Jana ABDELSALAM,EGY
147,ABDELSALAM,Jana,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,110.0,4.2,8.433,0.3,12.333,Jana ABDELSALAM,EGY
148,ABDELSALAM,Jana,w,EGY,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",BB,14.0,4.8,5.966,,10.766,Jana ABDELSALAM,EGY
149,ABDELSALAM,Jana,w,EGY,17-20 Mar 2022,2022 Cairo World Cup,final,"Cairo, Egypt",UB,6.0,4.6,6.266,,10.866,Jana ABDELSALAM,EGY
150,ABDELSALAM,Jana,w,EGY,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",UB,7.0,4.6,6.633,,11.233,Jana ABDELSALAM,EGY
151,ABDELSALAM,Jana,w,EGY,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",FX,24.0,4.5,6.6,0.1,11.0,Jana ABDELSALAM,EGY
152,ABDELSALAM,Jana,w,EGY,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",UB,14.0,4.6,7.6,,12.2,Jana ABDELSALAM,EGY
153,ABDELSALAM,Jana,w,EGY,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,144.0,4.8,5.866,,10.666,Jana ABDELSALAM,EGY
154,ABDELSALAM,Jana,w,EGY,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,131.0,4.5,7.2,0.3,11.4,Jana ABDELSALAM,EGY
155,ABDELSALAM,Jana,w,EGY,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,152.0,3.8,4.433,,8.233,Jana ABDELSALAM,EGY
156,ABDELSALAM,Jana,w,EGY,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,131.0,4.2,8.5,0.3,12.4,Jana ABDELSALAM,EGY
157,ABDELSALAM,Jana,w,EGY,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",BB,22.0,4.8,6.733,,11.533,Jana ABDELSALAM,EGY
158,ABDELSALAM,Jana,w,EGY,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,22.0,4.5,7.366,,11.866,Jana ABDELSALAM,EGY
159,ABDELSALAM,Jana,w,EGY,27-30 Apr 2023,2023 Cairo World Cup,final,"Cairo, Egypt",BB,8.0,4.8,6.566,,11.366,Jana ABDELSALAM,EGY
160,ABDELSALAM,Jana,w,EGY,27-30 Apr 2023,2023 Cairo World Cup,qual,"Cairo, Egypt",BB,9.0,4.7,7.466,,12.166,Jana ABDELSALAM,EGY
161,ABDELSALAM,Jana,w,EGY,27-30 Apr 2023,2023 Cairo World Cup,qual,"Cairo, Egypt",UB,29.0,4.5,6.266,,10.766,Jana ABDELSALAM,EGY
162,ABDELSALAM,Jana,w,EGY,1-4 Mar 2023,2023 Doha World Cup,final,"Doha, Qatar",BB,4.0,5.0,8.0,,13.0,Jana ABDELSALAM,EGY
163,ABDELSALAM,Jana,w,EGY,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",BB,6.0,5.0,7.933,,12.933,Jana ABDELSALAM,EGY
164,ABDELSALAM,Jana,w,EGY,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",UB,21.0,3.8,5.533,,9.333,Jana ABDELSALAM,EGY
168,ABDULLAHI,Ayesha,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,41.0,3.7,6.5,0.0,10.2,Ayesha ABDULLAHI,GBR
